p0_chart1__r0244	ZSTD	1	0.5
p0_chart2__r0244	ZSTD	1	0.5
p0_chart3__r0244	ZSTD	1	0.5
p0_chart4__r0244	ZSTD	1	0.5
p0_chart5__r0244	ZSTD	1	0.5
p0_chart0__r0246	ZSTD	1	0.5
p0_chart1__r0246	ZSTD	1	0.5
p0_chart2__r0246	ZSTD	1	0.5
p0_chart3__r0246	ZSTD	1	0.5
p0_chart4__r0246	ZSTD	1	0.5
p0_chart5__r0246	ZSTD	1	0.5
p0_chart0__r0117	ZSTD	1	0.5
p0_chart1__r0117	ZSTD	1	0.6
p0_chart2__r0117	ZSTD	1	0.5
p0_chart3__r0117	ZSTD	1	0.5
p0_chart4__r0117	ZSTD	1	0.5
p0_chart5__r0117	ZSTD	1	0.5
p0_chart0__r0037	ZSTD	1	0.5
p0_chart1__r0037	ZSTD	1	0.5
p0_chart2__r0037	ZSTD	1	0.5
p0_chart3__r0037	ZSTD	1	0.5
p0_chart4__r0037	ZSTD	1	0.5
p0_chart5__r0037	ZSTD	1	0.5
p0_chart0__r0091	ZSTD	1	0.5
p0_chart1__r0091	ZSTD	1	0.5
p0_chart2__r0091	ZSTD	1	0.5
p0_chart3__r0091	ZSTD	1	0.5
p0_chart4__r0091	ZSTD	1	0.6
p0_chart5__r0091	ZSTD	1	0.5
p0_chart0__r0039	ZSTD	1	0.5
p0_chart1__r0039	ZSTD	1	0.5
p0_chart2__r0039	ZSTD	1	0.5
p0_chart3__r0039	ZSTD	1	0.5
p0_chart4__r0039	ZSTD	1	0.5
p0_chart5__r0039	ZSTD	1	0.5
p0_chart0__r0093	ZSTD	1	0.5
p0_chart1__r0093	ZSTD	1	0.5
p0_chart2__r0093	ZSTD	1	0.5
p0_chart3__r0093	ZSTD	1	0.5
p0_chart4__r0093	ZSTD	1	0.5
p0_chart5__r0093	ZSTD	1	0.5
p0_chart0__r0013	ZSTD	1	0.5
p0_chart1__r0013	ZSTD	1	0.5
p0_chart2__r0013	ZSTD	1	0.5
p0_chart3__r0013	ZSTD	1	0.5
p0_chart4__r0013	ZSTD	1	0.5
p0_chart5__r0013	ZSTD	1	0.6
p0_chart0__r0109	ZSTD	1	0.6
p0_chart0__r0279	ZSTD	1	0.6
p0_chart1__r0109	ZSTD	1	0.5
p0_chart1__r0279	ZSTD	1	0.6
p0_chart2__r0109	ZSTD	1	0.6
p0_chart2__r0279	ZSTD	1	0.6
p0_chart3__r0109	ZSTD	1	0.6
p0_chart3__r0279	ZSTD	1	0.6
p0_chart4__r0109	ZSTD	1	0.6
p0_chart4__r0279	ZSTD	1	0.6
p0_chart5__r0109	ZSTD	1	0.6
p0_chart5__r0279	ZSTD	1	0.6
p0_chart0__r0333	ZSTD	1	0.6
p0_chart1__r0333	ZSTD	1	0.6
p0_chart2__r0333	ZSTD	1	0.6
p0_chart3__r0333	ZSTD	1	0.6
p0_chart4__r0333	ZSTD	1	3.7
p0_chart5__r0333	ZSTD	1	0.6
p0_chart0__r0111	ZSTD	1	0.6
p0_chart1__r0111	ZSTD	1	1.6
p0_chart2__r0111	ZSTD	1	1.6
p0_chart3__r0111	ZSTD	1	0.6
p0_chart4__r0111	ZSTD	1	0.6
p0_chart5__r0111	ZSTD	1	0.6
p0_chart0__r0253	ZSTD	1	0.6
p0_chart1__r0253	ZSTD	1	0.6
p0_chart2__r0253	ZSTD	1	0.6
p0_chart3__r0253	ZSTD	1	0.5
p0_chart4__r0253	ZSTD	1	0.6
p0_chart5__r0253	ZSTD	1	0.6
p0_chart0__r0031	ZSTD	1	0.5
p0_chart1__r0031	ZSTD	1	0.6
p0_chart2__r0031	ZSTD	1	0.5
p0_chart3__r0031	ZSTD	1	0.6
p0_chart4__r0031	ZSTD	1	0.6
