id	matrix_rows	rank_A_minus_I	full_symmetry_family	good_permutations_and_cycle_types
1	0001/0010/0100/1000	2	scalar-permutation	1243:2-1-1;1432:2-1-1;2134:2-1-1;2413:4;3142:4;3214:2-1-1
2	0001/0010/1012/0121	2	two-support	1243:2-1-1;1423:3-1;2134:2-1-1;2431:3-1;3124:3-1;3241:3-1
3	0001/0100/0010/1000	1	scalar-permutation	1342:3-1;1423:3-1;2143:2-2;2314:3-1;3124:3-1;3412:2-2
4	0001/0100/0112/1201	2	two-support	1324:2-1-1;1423:3-1;2143:2-2;2314:3-1;3142:4;3412:2-2
5	0001/0100/0211/1102	2	two-support	1324:2-1-1;1423:3-1;2143:2-2;2314:3-1;3142:4;3412:2-2
6	0001/0100/1000/0010	2	scalar-permutation	1324:2-1-1;1432:2-1-1;2134:2-1-1;2341:4;3142:4;3421:4
7	0001/0100/1102/0211	2	two-support	1342:3-1;1432:2-1-1;2134:2-1-1;2341:4;3124:3-1;3421:4
8	0001/0100/1201/0112	2	two-support	1342:3-1;1432:2-1-1;2134:2-1-1;2341:4;3124:3-1;3421:4
9	0001/0112/0010/1021	2	two-support	1324:2-1-1;1342:3-1;2143:2-2;2413:4;3124:3-1;3412:2-2
10	0001/0112/1021/0010	2	two-support	1324:2-1-1;1342:3-1;2134:2-1-1;2431:3-1;3142:4;3421:4
11	0001/0121/0010/1012	2	two-support	1324:2-1-1;1342:3-1;2143:2-2;2413:4;3124:3-1;3412:2-2
12	0001/0121/1012/0010	2	two-support	1324:2-1-1;1342:3-1;2134:2-1-1;2431:3-1;3142:4;3421:4
13	0001/1000/0010/0100	2	scalar-permutation	1243:2-1-1;1324:2-1-1;2341:4;2413:4;3214:2-1-1;3421:4
14	0001/1000/1012/2101	2	two-support	1243:2-1-1;1324:2-1-1;2314:3-1;2413:4;3241:3-1;3421:4
15	0001/1000/2011/1102	2	two-support	1243:2-1-1;1324:2-1-1;2314:3-1;2413:4;3241:3-1;3421:4
