id	matrix_rows	rank_A_minus_I	full_symmetry_family	good_permutations_and_cycle_types
16	0001/1012/0010/0121	2	two-support	1243:2-1-1;1423:3-1;2314:3-1;2341:4;3214:2-1-1;3421:4
17	0001/1012/2101/1000	2	two-support	1243:2-1-1;1432:2-1-1;2134:2-1-1;2143:2-2;3214:2-1-1;3412:2-2
18	0001/1021/0010/0112	2	two-support	1243:2-1-1;1423:3-1;2314:3-1;2341:4;3214:2-1-1;3421:4
19	0001/1102/0100/0211	2	two-support	1342:3-1;1432:2-1-1;2314:3-1;2431:3-1;3214:2-1-1;3241:3-1
20	0001/1102/0211/0100	2	two-support	1324:2-1-1;1423:3-1;2341:4;2413:4;3214:2-1-1;3241:3-1
21	0001/1102/1000/2011	2	two-support	1324:2-1-1;1432:2-1-1;2341:4;2431:3-1;3124:3-1;3142:4
22	0001/1102/2011/1000	1	two-support	1342:3-1;1423:3-1;2314:3-1;2413:4;3124:3-1;3142:4
23	0001/1201/0112/0100	2	two-support	1324:2-1-1;1423:3-1;2341:4;2413:4;3214:2-1-1;3241:3-1
24	0001/2011/1102/1000	2	two-support	1243:2-1-1;1432:2-1-1;2134:2-1-1;2143:2-2;3214:2-1-1;3412:2-2
25	0001/2101/1000/1012	2	two-support	1324:2-1-1;1432:2-1-1;2341:4;2431:3-1;3124:3-1;3142:4
26	0001/2101/1012/1000	1	two-support	1342:3-1;1423:3-1;2314:3-1;2413:4;3124:3-1;3142:4
27	0002/0020/0200/2000	2	scalar-permutation	1243:2-1-1;1432:2-1-1;2134:2-1-1;2413:4;3142:4;3214:2-1-1
28	0002/0020/2012/0221	2	two-support	1243:2-1-1;1423:3-1;2134:2-1-1;2431:3-1;3124:3-1;3241:3-1
29	0002/2102/0200/0221	2	two-support	1342:3-1;1432:2-1-1;2314:3-1;2431:3-1;3214:2-1-1;3241:3-1
30	0010/0001/0112/1021	2	two-support	1243:2-1-1;1342:3-1;2134:2-1-1;2314:3-1;4132:3-1;4213:3-1
31	0010/0001/1000/0100	2	scalar-permutation	1243:2-1-1;1324:2-1-1;2134:2-1-1;2341:4;4123:4;4231:2-1-1
32	0010/0100/0001/1000	2	scalar-permutation	1324:2-1-1;1432:2-1-1;2134:2-1-1;2413:4;4123:4;4312:4
33	0010/0100/0121/1210	2	two-support	1324:2-1-1;1423:3-1;2134:2-1-1;2413:4;4132:3-1;4312:4
34	0010/0100/0211/1120	2	two-support	1324:2-1-1;1423:3-1;2134:2-1-1;2413:4;4132:3-1;4312:4
35	0010/0100/1000/0001	1	scalar-permutation	1342:3-1;1423:3-1;2143:2-2;2431:3-1;4132:3-1;4321:2-2
36	0010/0100/1120/0211	2	two-support	1342:3-1;1432:2-1-1;2143:2-2;2431:3-1;4123:4;4321:2-2
37	0010/0100/1210/0121	2	two-support	1342:3-1;1432:2-1-1;2143:2-2;2431:3-1;4123:4;4321:2-2
38	0010/0112/0001/1021	2	two-support	1423:3-1;1432:2-1-1;2134:2-1-1;2314:3-1;4123:4;4312:4
39	0010/0112/1021/0001	2	two-support	1423:3-1;1432:2-1-1;2143:2-2;2341:4;4132:3-1;4321:2-2
40	0010/0121/0001/1012	2	two-support	1423:3-1;1432:2-1-1;2134:2-1-1;2314:3-1;4123:4;4312:4
41	0010/0121/1012/0001	2	two-support	1423:3-1;1432:2-1-1;2143:2-2;2341:4;4132:3-1;4321:2-2
42	0010/1000/0100/0001	2	scalar-permutation	1243:2-1-1;1432:2-1-1;2341:4;2413:4;4231:2-1-1;4312:4
43	0010/1000/1120/2011	2	two-support	1243:2-1-1;1432:2-1-1;2341:4;2431:3-1;4213:3-1;4312:4
44	0010/1000/2110/1021	2	two-support	1243:2-1-1;1432:2-1-1;2341:4;2431:3-1;4213:3-1;4312:4
45	0010/1012/0121/0001	2	two-support	1243:2-1-1;1342:3-1;2413:4;2431:3-1;4231:2-1-1;4312:4
46	0010/1021/0112/0001	2	two-support	1243:2-1-1;1342:3-1;2413:4;2431:3-1;4231:2-1-1;4312:4
47	0010/1021/1000/2110	2	two-support	1243:2-1-1;1324:2-1-1;2134:2-1-1;2143:2-2;4231:2-1-1;4321:2-2
48	0010/1120/0100/0211	2	two-support	1342:3-1;1432:2-1-1;2341:4;2413:4;4213:3-1;4231:2-1-1
49	0010/1120/0211/0100	2	two-support	1324:2-1-1;1423:3-1;2314:3-1;2431:3-1;4213:3-1;4231:2-1-1
50	0010/1120/1000/2011	1	two-support	1342:3-1;1423:3-1;2341:4;2431:3-1;4123:4;4132:3-1
51	0010/1120/2011/1000	2	two-support	1324:2-1-1;1432:2-1-1;2314:3-1;2413:4;4123:4;4132:3-1
52	0010/1210/0100/0121	2	two-support	1342:3-1;1432:2-1-1;2341:4;2413:4;4213:3-1;4231:2-1-1
53	0010/2011/1000/1120	2	two-support	1243:2-1-1;1324:2-1-1;2134:2-1-1;2143:2-2;4231:2-1-1;4321:2-2
54	0010/2110/1000/1021	1	two-support	1342:3-1;1423:3-1;2341:4;2431:3-1;4123:4;4132:3-1
55	0010/2110/1021/1000	2	two-support	1324:2-1-1;1432:2-1-1;2314:3-1;2413:4;4123:4;4132:3-1
56	0020/0002/0212/2021	2	two-support	1243:2-1-1;1342:3-1;2134:2-1-1;2314:3-1;4132:3-1;4213:3-1
57	0020/0002/2000/0200	2	scalar-permutation	1243:2-1-1;1324:2-1-1;2134:2-1-1;2341:4;4123:4;4231:2-1-1
58	0020/2120/0212/0200	2	two-support	1324:2-1-1;1423:3-1;2314:3-1;2431:3-1;4213:3-1;4231:2-1-1
59	0100/0001/0010/1000	2	scalar-permutation	1243:2-1-1;1324:2-1-1;3142:4;3214:2-1-1;4123:4;4312:4
60	0100/0001/0112/1201	2	two-support	1243:2-1-1;1342:3-1;3124:3-1;3214:2-1-1;4123:4;4312:4
61	0100/0001/0211/1102	2	two-support	1243:2-1-1;1342:3-1;3124:3-1;3214:2-1-1;4123:4;4312:4
62	0100/0010/1000/0001	2	scalar-permutation	1243:2-1-1;1432:2-1-1;3142:4;3421:4;4123:4;4231:2-1-1
63	0100/0010/1120/0211	2	two-support	1243:2-1-1;1423:3-1;3142:4;3421:4;4132:3-1;4231:2-1-1
64	0100/0010/1210/0121	2	two-support	1243:2-1-1;1423:3-1;3142:4;3421:4;4132:3-1;4231:2-1-1
65	0100/0112/0001/1201	2	two-support	1423:3-1;1432:2-1-1;3124:3-1;3214:2-1-1;4132:3-1;4213:3-1
66	0100/0112/1201/0001	2	two-support	1423:3-1;1432:2-1-1;3142:4;3241:3-1;4123:4;4231:2-1-1
67	0100/0121/0010/1210	2	two-support	1324:2-1-1;1342:3-1;3142:4;3214:2-1-1;4123:4;4213:3-1
68	0100/0121/1210/0010	2	two-support	1324:2-1-1;1342:3-1;3124:3-1;3241:3-1;4132:3-1;4231:2-1-1
69	0100/0211/0010/1120	2	two-support	1324:2-1-1;1342:3-1;3142:4;3214:2-1-1;4123:4;4213:3-1
70	0100/0211/1102/0001	2	two-support	1423:3-1;1432:2-1-1;3142:4;3241:3-1;4123:4;4231:2-1-1
71	0100/1000/0001/0010	2	scalar-permutation	1324:2-1-1;1432:2-1-1;3214:2-1-1;3421:4;4231:2-1-1;4312:4
72	0100/1000/0010/0001	1	scalar-permutation	1342:3-1;1423:3-1;3241:3-1;3412:2-2;4213:3-1;4321:2-2
73	0100/1000/1201/2110	2	two-support	1324:2-1-1;1432:2-1-1;3214:2-1-1;3412:2-2;4231:2-1-1;4321:2-2
74	0100/1000/1210/2101	1	two-support	1342:3-1;1423:3-1;3241:3-1;3421:4;4213:3-1;4312:4
75	0100/1000/2101/1210	2	two-support	1324:2-1-1;1432:2-1-1;3214:2-1-1;3412:2-2;4231:2-1-1;4321:2-2
76	0100/1000/2110/1201	1	two-support	1342:3-1;1423:3-1;3241:3-1;3421:4;4213:3-1;4312:4
77	0100/1102/0211/0001	2	two-support	1243:2-1-1;1342:3-1;3412:2-2;3421:4;4213:3-1;4321:2-2
78	0100/1120/0010/0211	2	two-support	1243:2-1-1;1423:3-1;3241:3-1;3412:2-2;4312:4;4321:2-2
79	0100/1201/0112/0001	2	two-support	1243:2-1-1;1342:3-1;3412:2-2;3421:4;4213:3-1;4321:2-2
80	0100/1201/2110/1000	2	two-support	1243:2-1-1;1324:2-1-1;3124:3-1;3142:4;4213:3-1;4312:4
81	0100/1210/0010/0121	2	two-support	1243:2-1-1;1423:3-1;3241:3-1;3412:2-2;4312:4;4321:2-2
82	0100/1210/1000/2101	2	two-support	1243:2-1-1;1432:2-1-1;3241:3-1;3421:4;4123:4;4132:3-1
83	0100/2101/1210/1000	2	two-support	1243:2-1-1;1324:2-1-1;3124:3-1;3142:4;4213:3-1;4312:4
84	0100/2110/1000/1201	2	two-support	1243:2-1-1;1432:2-1-1;3241:3-1;3421:4;4123:4;4132:3-1
85	0112/0001/0010/1021	2	two-support	1243:2-1-1;1324:2-1-1;3124:3-1;3142:4;4213:3-1;4312:4
86	0112/0001/1201/0100	2	two-support	1243:2-1-1;1324:2-1-1;2134:2-1-1;2143:2-2;4231:2-1-1;4321:2-2
87	0112/0010/1021/0001	2	two-support	1243:2-1-1;1432:2-1-1;3241:3-1;3421:4;4123:4;4132:3-1
88	0112/0100/0001/1201	2	two-support	1324:2-1-1;1432:2-1-1;2314:3-1;2413:4;4123:4;4132:3-1
89	0112/0100/1201/0001	1	two-support	1342:3-1;1423:3-1;2341:4;2431:3-1;4123:4;4132:3-1
90	0112/1021/0001/0010	2	two-support	1324:2-1-1;1432:2-1-1;3214:2-1-1;3412:2-2;4231:2-1-1;4321:2-2
91	0112/1021/0010/0001	1	two-support	1342:3-1;1423:3-1;3241:3-1;3421:4;4213:3-1;4312:4
92	0112/1201/0100/0001	2	two-support	1243:2-1-1;1432:2-1-1;2341:4;2431:3-1;4213:3-1;4312:4
93	0121/0001/0010/1012	2	two-support	1243:2-1-1;1324:2-1-1;3124:3-1;3142:4;4213:3-1;4312:4
94	0121/0010/0100/1210	2	two-support	1243:2-1-1;1432:2-1-1;2134:2-1-1;2143:2-2;3214:2-1-1;3412:2-2
95	0121/0010/1012/0001	2	two-support	1243:2-1-1;1432:2-1-1;3241:3-1;3421:4;4123:4;4132:3-1
96	0121/0100/0010/1210	1	two-support	1342:3-1;1423:3-1;2314:3-1;2413:4;3124:3-1;3142:4
97	0121/0100/1210/0010	2	two-support	1324:2-1-1;1432:2-1-1;2341:4;2431:3-1;3124:3-1;3142:4
98	0121/1012/0001/0010	2	two-support	1324:2-1-1;1432:2-1-1;3214:2-1-1;3412:2-2;4231:2-1-1;4321:2-2
99	0121/1012/0010/0001	1	two-support	1342:3-1;1423:3-1;3241:3-1;3421:4;4213:3-1;4312:4
100	0121/1210/0010/0100	2	two-support	1243:2-1-1;1324:2-1-1;2314:3-1;2413:4;3241:3-1;3421:4
101	0200/0122/0002/2201	2	two-support	1423:3-1;1432:2-1-1;3124:3-1;3214:2-1-1;4132:3-1;4213:3-1
102	0200/0122/2210/0020	2	two-support	1324:2-1-1;1342:3-1;3124:3-1;3241:3-1;4132:3-1;4231:2-1-1
103	0200/2000/0002/0020	2	scalar-permutation	1324:2-1-1;1432:2-1-1;3214:2-1-1;3421:4;4231:2-1-1;4312:4
104	0211/0001/1102/0100	2	two-support	1243:2-1-1;1324:2-1-1;2134:2-1-1;2143:2-2;4231:2-1-1;4321:2-2
105	0211/0010/0100/1120	2	two-support	1243:2-1-1;1432:2-1-1;2134:2-1-1;2143:2-2;3214:2-1-1;3412:2-2
106	0211/0100/0001/1102	2	two-support	1324:2-1-1;1432:2-1-1;2314:3-1;2413:4;4123:4;4132:3-1
107	0211/0100/0010/1120	1	two-support	1342:3-1;1423:3-1;2314:3-1;2413:4;3124:3-1;3142:4
108	0211/0100/1102/0001	1	two-support	1342:3-1;1423:3-1;2341:4;2431:3-1;4123:4;4132:3-1
109	0211/0100/1120/0010	2	two-support	1324:2-1-1;1432:2-1-1;2341:4;2431:3-1;3124:3-1;3142:4
110	0211/1102/0100/0001	2	two-support	1243:2-1-1;1432:2-1-1;2341:4;2431:3-1;4213:3-1;4312:4
111	0211/1120/0010/0100	2	two-support	1243:2-1-1;1324:2-1-1;2314:3-1;2413:4;3241:3-1;3421:4
112	1000/0001/0010/0100	1	scalar-permutation	2143:2-2;2314:3-1;3124:3-1;3241:3-1;4213:3-1;4321:2-2
113	1000/0001/0100/0010	2	scalar-permutation	2134:2-1-1;2341:4;3142:4;3214:2-1-1;4231:2-1-1;4312:4
114	1000/0001/1012/2101	2	two-support	2143:2-2;2341:4;3124:3-1;3214:2-1-1;4213:3-1;4321:2-2
115	1000/0001/1102/2011	2	two-support	2134:2-1-1;2314:3-1;3142:4;3241:3-1;4231:2-1-1;4312:4
116	1000/0001/2011/1102	2	two-support	2143:2-2;2341:4;3124:3-1;3214:2-1-1;4213:3-1;4321:2-2
117	1000/0001/2101/1012	2	two-support	2134:2-1-1;2314:3-1;3142:4;3241:3-1;4231:2-1-1;4312:4
118	1000/0010/0001/0100	2	scalar-permutation	2134:2-1-1;2413:4;3214:2-1-1;3421:4;4123:4;4231:2-1-1
119	1000/0010/0100/0001	1	scalar-permutation	2143:2-2;2431:3-1;3241:3-1;3412:2-2;4132:3-1;4213:3-1
120	1000/0010/1021/2110	2	two-support	2134:2-1-1;2431:3-1;3214:2-1-1;3421:4;4123:4;4213:3-1
121	1000/0010/1120/2011	2	two-support	2143:2-2;2413:4;3241:3-1;3412:2-2;4132:3-1;4231:2-1-1
122	1000/0010/2011/1120	2	two-support	2134:2-1-1;2431:3-1;3214:2-1-1;3421:4;4123:4;4213:3-1
123	1000/0010/2110/1021	2	two-support	2143:2-2;2413:4;3241:3-1;3412:2-2;4132:3-1;4231:2-1-1
124	1000/0100/0001/0010	1	scalar-permutation	2314:3-1;2431:3-1;3124:3-1;3412:2-2;4132:3-1;4321:2-2
125	1000/0100/0010/0001	0	scalar-permutation	2341:4;2413:4;3142:4;3421:4;4123:4;4312:4
126	1000/0100/1201/2110	1	two-support	2314:3-1;2431:3-1;3124:3-1;3421:4;4132:3-1;4312:4
127	1000/0100/1210/2101	1	two-support	2341:4;2413:4;3142:4;3412:2-2;4123:4;4321:2-2
128	1000/0100/2101/1210	1	two-support	2314:3-1;2431:3-1;3124:3-1;3421:4;4132:3-1;4312:4
129	1000/0100/2110/1201	1	two-support	2341:4;2413:4;3142:4;3412:2-2;4123:4;4321:2-2
130	1000/1012/0001/2101	2	two-support	2413:4;2431:3-1;3124:3-1;3214:2-1-1;4123:4;4231:2-1-1
131	1000/1012/2101/0001	1	two-support	2413:4;2431:3-1;3142:4;3241:3-1;4132:3-1;4213:3-1
132	1000/1021/0010/2110	1	two-support	2314:3-1;2341:4;3124:3-1;3241:3-1;4123:4;4213:3-1
133	1000/1021/2110/0010	2	two-support	2314:3-1;2341:4;3142:4;3214:2-1-1;4132:3-1;4231:2-1-1
134	1000/1102/0001/2011	2	two-support	2134:2-1-1;2314:3-1;3412:2-2;3421:4;4132:3-1;4321:2-2
135	1000/1102/2011/0001	1	two-support	2143:2-2;2341:4;3412:2-2;3421:4;4123:4;4312:4
136	1000/1120/0010/2011	1	two-support	2143:2-2;2413:4;3142:4;3421:4;4312:4;4321:2-2
137	1000/1120/2011/0010	2	two-support	2134:2-1-1;2431:3-1;3124:3-1;3412:2-2;4312:4;4321:2-2
138	1000/1201/0100/2110	2	two-support	2134:2-1-1;2341:4;3214:2-1-1;3241:3-1;4132:3-1;4312:4
139	1000/1201/2110/0100	2	two-support	2143:2-2;2314:3-1;3214:2-1-1;3241:3-1;4123:4;4321:2-2
140	1000/1210/0100/2101	2	two-support	2143:2-2;2431:3-1;3142:4;3412:2-2;4213:3-1;4231:2-1-1
141	1000/1210/2101/0100	2	two-support	2134:2-1-1;2413:4;3124:3-1;3421:4;4213:3-1;4231:2-1-1
142	1000/2011/0001/1102	2	two-support	2413:4;2431:3-1;3124:3-1;3214:2-1-1;4123:4;4231:2-1-1
143	1000/2011/0010/1120	1	two-support	2314:3-1;2341:4;3124:3-1;3241:3-1;4123:4;4213:3-1
144	1000/2011/1102/0001	1	two-support	2413:4;2431:3-1;3142:4;3241:3-1;4132:3-1;4213:3-1
145	1000/2011/1120/0010	2	two-support	2314:3-1;2341:4;3142:4;3214:2-1-1;4132:3-1;4231:2-1-1
146	1000/2101/0001/1012	2	two-support	2134:2-1-1;2314:3-1;3412:2-2;3421:4;4132:3-1;4321:2-2
147	1000/2101/0100/1210	2	two-support	2134:2-1-1;2341:4;3214:2-1-1;3241:3-1;4132:3-1;4312:4
148	1000/2101/1012/0001	1	two-support	2143:2-2;2341:4;3412:2-2;3421:4;4123:4;4312:4
149	1000/2101/1210/0100	2	two-support	2143:2-2;2314:3-1;3214:2-1-1;3241:3-1;4123:4;4321:2-2
150	1000/2110/0010/1021	1	two-support	2143:2-2;2413:4;3142:4;3421:4;4312:4;4321:2-2
151	1000/2110/0100/1201	2	two-support	2143:2-2;2431:3-1;3142:4;3412:2-2;4213:3-1;4231:2-1-1
152	1000/2110/1021/0010	2	two-support	2134:2-1-1;2431:3-1;3124:3-1;3412:2-2;4312:4;4321:2-2
153	1000/2110/1201/0100	2	two-support	2134:2-1-1;2413:4;3124:3-1;3421:4;4213:3-1;4231:2-1-1
154	1012/0001/0010/0121	2	two-support	2143:2-2;2314:3-1;3214:2-1-1;3241:3-1;4123:4;4321:2-2
155	1012/0001/0121/0010	2	two-support	2134:2-1-1;2341:4;3214:2-1-1;3241:3-1;4132:3-1;4312:4
156	1012/0010/0001/0121	2	two-support	2134:2-1-1;2413:4;3124:3-1;3421:4;4213:3-1;4231:2-1-1
157	1012/0010/0121/0001	2	two-support	2143:2-2;2431:3-1;3142:4;3412:2-2;4213:3-1;4231:2-1-1
158	1012/0121/0001/0010	1	two-support	2314:3-1;2431:3-1;3124:3-1;3421:4;4132:3-1;4312:4
159	1012/0121/0010/0001	1	two-support	2341:4;2413:4;3142:4;3412:2-2;4123:4;4321:2-2
160	1012/1000/0001/2101	2	two-support	1324:2-1-1;1423:3-1;2314:3-1;2431:3-1;4213:3-1;4231:2-1-1
161	1012/1000/2101/0001	2	two-support	1342:3-1;1432:2-1-1;2341:4;2413:4;4213:3-1;4231:2-1-1
162	1012/2101/0001/1000	2	two-support	1324:2-1-1;1423:3-1;2134:2-1-1;2413:4;4132:3-1;4312:4
163	1012/2101/1000/0001	2	two-support	1342:3-1;1432:2-1-1;2143:2-2;2431:3-1;4123:4;4321:2-2
164	1021/0001/0010/0112	2	two-support	2143:2-2;2314:3-1;3214:2-1-1;3241:3-1;4123:4;4321:2-2
165	1021/0001/0112/0010	2	two-support	2134:2-1-1;2341:4;3214:2-1-1;3241:3-1;4132:3-1;4312:4
166	1021/0010/0001/0112	2	two-support	2134:2-1-1;2413:4;3124:3-1;3421:4;4213:3-1;4231:2-1-1
167	1021/0010/0112/0001	2	two-support	2143:2-2;2431:3-1;3142:4;3412:2-2;4213:3-1;4231:2-1-1
168	1021/0112/0001/0010	1	two-support	2314:3-1;2431:3-1;3124:3-1;3421:4;4132:3-1;4312:4
169	1021/0112/0010/0001	1	two-support	2341:4;2413:4;3142:4;3412:2-2;4123:4;4321:2-2
170	1021/1000/0010/2110	2	two-support	1324:2-1-1;1423:3-1;2341:4;2413:4;3214:2-1-1;3241:3-1
171	1021/1000/2110/0010	2	two-support	1342:3-1;1432:2-1-1;2314:3-1;2431:3-1;3214:2-1-1;3241:3-1
172	1021/2110/0010/1000	2	two-support	1324:2-1-1;1423:3-1;2143:2-2;2314:3-1;3142:4;3412:2-2
173	1021/2110/1000/0010	2	two-support	1342:3-1;1432:2-1-1;2134:2-1-1;2341:4;3124:3-1;3421:4
174	1022/2000/0002/2201	2	two-support	1324:2-1-1;1423:3-1;2314:3-1;2431:3-1;4213:3-1;4231:2-1-1
175	1022/2000/2210/0020	2	two-support	1342:3-1;1432:2-1-1;2314:3-1;2431:3-1;3214:2-1-1;3241:3-1
176	1102/0001/0100/0211	2	two-support	2314:3-1;2341:4;3142:4;3214:2-1-1;4132:3-1;4231:2-1-1
177	1102/0001/0211/0100	1	two-support	2314:3-1;2341:4;3124:3-1;3241:3-1;4123:4;4213:3-1
178	1102/0001/1000/2011	2	two-support	1324:2-1-1;1342:3-1;3124:3-1;3241:3-1;4132:3-1;4231:2-1-1
179	1102/0001/2011/1000	2	two-support	1324:2-1-1;1342:3-1;3142:4;3214:2-1-1;4123:4;4213:3-1
180	1102/0100/0001/0211	2	two-support	2134:2-1-1;2431:3-1;3124:3-1;3412:2-2;4312:4;4321:2-2
181	1102/0100/0211/0001	1	two-support	2143:2-2;2413:4;3142:4;3421:4;4312:4;4321:2-2
182	1102/0211/0001/0100	2	two-support	2134:2-1-1;2431:3-1;3214:2-1-1;3421:4;4123:4;4213:3-1
183	1102/0211/0100/0001	2	two-support	2143:2-2;2413:4;3241:3-1;3412:2-2;4132:3-1;4231:2-1-1
184	1102/1000/2011/0001	2	two-support	1243:2-1-1;1423:3-1;3241:3-1;3412:2-2;4312:4;4321:2-2
185	1102/2011/1000/0001	2	two-support	1243:2-1-1;1423:3-1;3142:4;3421:4;4132:3-1;4231:2-1-1
186	1120/0010/0100/0211	1	two-support	2413:4;2431:3-1;3142:4;3241:3-1;4132:3-1;4213:3-1
187	1120/0010/0211/0100	2	two-support	2413:4;2431:3-1;3124:3-1;3214:2-1-1;4123:4;4231:2-1-1
188	1120/0010/1000/2011	2	two-support	1423:3-1;1432:2-1-1;3142:4;3241:3-1;4123:4;4231:2-1-1
189	1120/0010/2011/1000	2	two-support	1423:3-1;1432:2-1-1;3124:3-1;3214:2-1-1;4132:3-1;4213:3-1
190	1120/0100/0010/0211	1	two-support	2143:2-2;2341:4;3412:2-2;3421:4;4123:4;4312:4
191	1120/0100/0211/0010	2	two-support	2134:2-1-1;2314:3-1;3412:2-2;3421:4;4132:3-1;4321:2-2
192	1120/0211/0010/0100	2	two-support	2143:2-2;2341:4;3124:3-1;3214:2-1-1;4213:3-1;4321:2-2
193	1120/0211/0100/0010	2	two-support	2134:2-1-1;2314:3-1;3142:4;3241:3-1;4231:2-1-1;4312:4
194	1120/1000/0010/2011	2	two-support	1243:2-1-1;1342:3-1;3412:2-2;3421:4;4213:3-1;4321:2-2
195	1120/2011/0010/1000	2	two-support	1243:2-1-1;1342:3-1;3124:3-1;3214:2-1-1;4123:4;4312:4
196	1201/0001/0100/0112	2	two-support	2314:3-1;2341:4;3142:4;3214:2-1-1;4132:3-1;4231:2-1-1
197	1201/0001/0112/0100	1	two-support	2314:3-1;2341:4;3124:3-1;3241:3-1;4123:4;4213:3-1
198	1201/0100/0001/0112	2	two-support	2134:2-1-1;2431:3-1;3124:3-1;3412:2-2;4312:4;4321:2-2
199	1201/0100/0112/0001	1	two-support	2143:2-2;2413:4;3142:4;3421:4;4312:4;4321:2-2
200	1201/0100/1000/2110	2	two-support	1324:2-1-1;1342:3-1;2134:2-1-1;2431:3-1;3142:4;3421:4
201	1201/0100/2110/1000	2	two-support	1324:2-1-1;1342:3-1;2143:2-2;2413:4;3124:3-1;3412:2-2
202	1201/0112/0001/0100	2	two-support	2134:2-1-1;2431:3-1;3214:2-1-1;3421:4;4123:4;4213:3-1
203	1201/0112/0100/0001	2	two-support	2143:2-2;2413:4;3241:3-1;3412:2-2;4132:3-1;4231:2-1-1
204	1201/1000/2110/0100	2	two-support	1243:2-1-1;1423:3-1;2314:3-1;2341:4;3214:2-1-1;3421:4
205	1201/2110/1000/0100	2	two-support	1243:2-1-1;1423:3-1;2134:2-1-1;2431:3-1;3124:3-1;3241:3-1
206	1202/0002/2000/2021	2	two-support	1324:2-1-1;1342:3-1;3124:3-1;3241:3-1;4132:3-1;4231:2-1-1
207	1202/2120/2000/0200	2	two-support	1243:2-1-1;1423:3-1;2134:2-1-1;2431:3-1;3124:3-1;3241:3-1
208	1210/0010/0100/0121	1	two-support	2413:4;2431:3-1;3142:4;3241:3-1;4132:3-1;4213:3-1
209	1210/0010/0121/0100	2	two-support	2413:4;2431:3-1;3124:3-1;3214:2-1-1;4123:4;4231:2-1-1
210	1210/0100/0010/0121	1	two-support	2143:2-2;2341:4;3412:2-2;3421:4;4123:4;4312:4
211	1210/0100/0121/0010	2	two-support	2134:2-1-1;2314:3-1;3412:2-2;3421:4;4132:3-1;4321:2-2
212	1210/0100/1000/2101	2	two-support	1423:3-1;1432:2-1-1;2143:2-2;2341:4;4132:3-1;4321:2-2
213	1210/0100/2101/1000	2	two-support	1423:3-1;1432:2-1-1;2134:2-1-1;2314:3-1;4123:4;4312:4
214	1210/0121/0010/0100	2	two-support	2143:2-2;2341:4;3124:3-1;3214:2-1-1;4213:3-1;4321:2-2
215	1210/0121/0100/0010	2	two-support	2134:2-1-1;2314:3-1;3142:4;3241:3-1;4231:2-1-1;4312:4
216	1210/1000/0100/2101	2	two-support	1243:2-1-1;1342:3-1;2413:4;2431:3-1;4231:2-1-1;4312:4
217	1210/2101/0100/1000	2	two-support	1243:2-1-1;1342:3-1;2134:2-1-1;2314:3-1;4132:3-1;4213:3-1
218	1220/0020/2012/2000	2	two-support	1423:3-1;1432:2-1-1;3124:3-1;3214:2-1-1;4132:3-1;4213:3-1
219	1220/2102/0200/2000	2	two-support	1243:2-1-1;1342:3-1;2134:2-1-1;2314:3-1;4132:3-1;4213:3-1
220	2011/1000/0010/1120	2	two-support	1324:2-1-1;1423:3-1;2341:4;2413:4;3214:2-1-1;3241:3-1
221	2011/1000/1102/0001	2	two-support	1342:3-1;1432:2-1-1;2341:4;2413:4;4213:3-1;4231:2-1-1
222	2011/1102/0001/1000	2	two-support	1324:2-1-1;1423:3-1;2134:2-1-1;2413:4;4132:3-1;4312:4
