id	matrix_rows	rank_A_minus_I	full_symmetry_family	good_permutations_and_cycle_types
1	0411/0100/0001/1104	2	two-support	1324:2-1-1;1432:2-1-1;2314:3-1;2413:4;4123:4;4132:3-1
2	1410/0100/1000/4101	2	two-support	1423:3-1;1432:2-1-1;2143:2-2;2341:4;4132:3-1;4321:2-2
3	1410/0100/4101/1000	2	two-support	1423:3-1;1432:2-1-1;2134:2-1-1;2314:3-1;4123:4;4312:4
