id	matrix_rows	rank_A_minus_I	full_symmetry_family	good_permutations_and_cycle_types
1	0001/0010/0100/1000	2	scalar-permutation	1243:2-1-1;1432:2-1-1;2134:2-1-1;2413:4;3142:4;3214:2-1-1
2	0001/1000/1011/1101	2	two-support	1243:2-1-1;1324:2-1-1;2314:3-1;2413:4;3241:3-1;3421:4
3	0111/0010/0100/1110	2	two-support	1243:2-1-1;1432:2-1-1;2134:2-1-1;2143:2-2;3214:2-1-1;3412:2-2
4	1000/0001/1101/1011	2	two-support	2134:2-1-1;2314:3-1;3142:4;3241:3-1;4231:2-1-1;4312:4
