id	matrix_rows	rank_A_minus_I	full_symmetry_family	good_permutations_and_cycle_types
1	0001/0100/0010/1000	1	scalar-permutation	1342:3-1;1423:3-1;2143:2-2;2314:3-1;3124:3-1;3412:2-2
2	0001/1106/6011/1000	1	two-support	1342:3-1;1423:3-1;2314:3-1;2413:4;3124:3-1;3142:4
3	0001/6101/1016/1000	1	two-support	1342:3-1;1423:3-1;2314:3-1;2413:4;3124:3-1;3142:4
4	0010/0100/1000/0001	1	scalar-permutation	1342:3-1;1423:3-1;2143:2-2;2431:3-1;4132:3-1;4321:2-2
5	0010/1160/1000/6011	1	two-support	1342:3-1;1423:3-1;2341:4;2431:3-1;4123:4;4132:3-1
6	0010/6110/1000/1061	1	two-support	1342:3-1;1423:3-1;2341:4;2431:3-1;4123:4;4132:3-1
7	0100/1000/0010/0001	1	scalar-permutation	1342:3-1;1423:3-1;3241:3-1;3412:2-2;4213:3-1;4321:2-2
8	0100/1000/1610/6101	1	two-support	1342:3-1;1423:3-1;3241:3-1;3421:4;4213:3-1;4312:4
9	0100/1000/6110/1601	1	two-support	1342:3-1;1423:3-1;3241:3-1;3421:4;4213:3-1;4312:4
10	0116/0100/1601/0001	1	two-support	1342:3-1;1423:3-1;2341:4;2431:3-1;4123:4;4132:3-1
11	0116/1061/0010/0001	1	two-support	1342:3-1;1423:3-1;3241:3-1;3421:4;4213:3-1;4312:4
12	0161/0100/0010/1610	1	two-support	1342:3-1;1423:3-1;2314:3-1;2413:4;3124:3-1;3142:4
13	0161/1016/0010/0001	1	two-support	1342:3-1;1423:3-1;3241:3-1;3421:4;4213:3-1;4312:4
14	0611/0100/0010/1160	1	two-support	1342:3-1;1423:3-1;2314:3-1;2413:4;3124:3-1;3142:4
15	0611/0100/1106/0001	1	two-support	1342:3-1;1423:3-1;2341:4;2431:3-1;4123:4;4132:3-1
16	0666/6066/6606/6660	1	dense-I+gamma-J	2341:4;2413:4;3142:4;3421:4;4123:4;4312:4
17	1000/0001/0010/0100	1	scalar-permutation	2143:2-2;2314:3-1;3124:3-1;3241:3-1;4213:3-1;4321:2-2
18	1000/0010/0100/0001	1	scalar-permutation	2143:2-2;2431:3-1;3241:3-1;3412:2-2;4132:3-1;4213:3-1
19	1000/0100/0001/0010	1	scalar-permutation	2314:3-1;2431:3-1;3124:3-1;3412:2-2;4132:3-1;4321:2-2
20	1000/0100/0010/0001	0	scalar-permutation	2341:4;2413:4;3142:4;3421:4;4123:4;4312:4
21	1000/0100/1601/6110	1	two-support	2314:3-1;2431:3-1;3124:3-1;3421:4;4132:3-1;4312:4
22	1000/0100/1610/6101	1	two-support	2341:4;2413:4;3142:4;3412:2-2;4123:4;4321:2-2
23	1000/0100/6101/1610	1	two-support	2314:3-1;2431:3-1;3124:3-1;3421:4;4132:3-1;4312:4
24	1000/0100/6110/1601	1	two-support	2341:4;2413:4;3142:4;3412:2-2;4123:4;4321:2-2
25	1000/1016/6101/0001	1	two-support	2413:4;2431:3-1;3142:4;3241:3-1;4132:3-1;4213:3-1
26	1000/1061/0010/6110	1	two-support	2314:3-1;2341:4;3124:3-1;3241:3-1;4123:4;4213:3-1
27	1000/1106/6011/0001	1	two-support	2143:2-2;2341:4;3412:2-2;3421:4;4123:4;4312:4
28	1000/1160/0010/6011	1	two-support	2143:2-2;2413:4;3142:4;3421:4;4312:4;4321:2-2
29	1000/6011/0010/1160	1	two-support	2314:3-1;2341:4;3124:3-1;3241:3-1;4123:4;4213:3-1
30	1000/6011/1106/0001	1	two-support	2413:4;2431:3-1;3142:4;3241:3-1;4132:3-1;4213:3-1
31	1000/6101/1016/0001	1	two-support	2143:2-2;2341:4;3412:2-2;3421:4;4123:4;4312:4
32	1000/6110/0010/1061	1	two-support	2143:2-2;2413:4;3142:4;3421:4;4312:4;4321:2-2
33	1016/0161/0001/0010	1	two-support	2314:3-1;2431:3-1;3124:3-1;3421:4;4132:3-1;4312:4
34	1016/0161/0010/0001	1	two-support	2341:4;2413:4;3142:4;3412:2-2;4123:4;4321:2-2
35	1061/0116/0001/0010	1	two-support	2314:3-1;2431:3-1;3124:3-1;3421:4;4132:3-1;4312:4
36	1061/0116/0010/0001	1	two-support	2341:4;2413:4;3142:4;3412:2-2;4123:4;4321:2-2
37	1106/0001/0611/0100	1	two-support	2314:3-1;2341:4;3124:3-1;3241:3-1;4123:4;4213:3-1
38	1106/0100/0611/0001	1	two-support	2143:2-2;2413:4;3142:4;3421:4;4312:4;4321:2-2
39	1160/0010/0100/0611	1	two-support	2413:4;2431:3-1;3142:4;3241:3-1;4132:3-1;4213:3-1
40	1160/0100/0010/0611	1	two-support	2143:2-2;2341:4;3412:2-2;3421:4;4123:4;4312:4
41	1601/0001/0116/0100	1	two-support	2314:3-1;2341:4;3124:3-1;3241:3-1;4123:4;4213:3-1
42	1601/0100/0116/0001	1	two-support	2143:2-2;2413:4;3142:4;3421:4;4312:4;4321:2-2
43	1610/0010/0100/0161	1	two-support	2413:4;2431:3-1;3142:4;3241:3-1;4132:3-1;4213:3-1
44	1610/0100/0010/0161	1	two-support	2143:2-2;2341:4;3412:2-2;3421:4;4123:4;4312:4
45	3222/2322/2232/2223	1	dense-I+gamma-J	2341:4;2413:4;3142:4;3421:4;4123:4;4312:4
